alt_text,trip,location,time,path,small_path
Yosemite Park Mountain,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_15-11-34_509_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_15-11-34_509_small_60.jpg
2024-03-17_10-53-37_446_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-17,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-17_10-53-37_446_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-17_10-53-37_446_small_40.jpg
2024-03-16_12-53-41_371_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-16,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-16_12-53-41_371_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-16_12-53-41_371_small_40.jpg
2024-03-16_12-56-34_263_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-16,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-16_12-56-34_263_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-16_12-56-34_263_small_40.jpg
2024-03-17_10-11-02_168_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-17,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-17_10-11-02_168_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-17_10-11-02_168_small_40.jpg
2024-03-16_07-30-13_943_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-16,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-16_07-30-13_943_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-16_07-30-13_943_small_40.jpg
2024-03-16_13-00-46_786_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-16,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-16_13-00-46_786_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-16_13-00-46_786_small_40.jpg
2024-03-16_07-33-03_345_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-16,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-16_07-33-03_345_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-16_07-33-03_345_small_40.jpg
2024-03-16_07-30-03_542_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-16,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-16_07-30-03_542_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-16_07-30-03_542_small_40.jpg
2024-03-15_22-26-00_122_small_40.jpg,Surf-Beach-2024,North-Carolina,2024-03-15,./assets/img/gallery/surfbeach-NC-2024-Mar/2024-03-15_22-26-00_122_small.jpg,./assets/img_small/gallery/surfbeach-NC-2024-Mar/2024-03-15_22-26-00_122_small_40.jpg
